"代號","名稱","成交","最高","最低","漲跌價","漲跌幅","更新日期","3個月最高股價(元)","現距3個月高點跌幅","3個月最低股價(元)","現距3個月低點漲幅","半年最高股價(元)","現距半年高點跌幅","半年最低股價(元)","現距半年低點漲幅","1年最高股價(元)","現距1年高點跌幅","1年最低股價(元)","現距1年低點漲幅"
="2515","中工","17.65","18.3","17.65","-0.05","-0.28","05/02","19.55","-9.72","11.75","+50.2","19.55","-9.72","10.9","+61.9","19.55","-9.72","9.73","+81.4"
="2516","新建","12.9","13","12.4","+0.45","+3.61","05/02","14.15","-8.83","11.3","+14.2","14.95","-13.7","8.5","+51.8","14.95","-13.7","4.9","+163"
="2520","冠德","60","60.5","57.3","+3.7","+6.57","05/02","60.5","-0.83","37.85","+58.5","60.5","-0.83","34.55","+73.7","60.5","-0.83","28.5","+111"
="2524","京城","55.1","57.8","55","+0.6","+1.1","05/02","57.8","-4.67","31","+77.7","57.8","-4.67","30.6","+80.1","57.8","-4.67","30","+83.7"
="2527","宏璟","53.8","58.1","51.8","-3.1","-5.45","05/02","63.2","-14.9","29.25","+83.9","63.2","-14.9","22.6","+138","63.2","-14.9","22.15","+143"
="2528","皇普","52.2","53","49.95","+2.2","+4.4","05/02","53","-1.51","37.55","+39","53","-1.51","27.3","+91.2","53","-1.51","23","+127"
="2530","華建","52.8","53.3","50.7","+1.5","+2.92","05/02","55","-4","35.9","+47.1","55","-4","26.9","+96.3","55","-4","21.65","+144"
="2534","宏盛","29.15","29.9","27.2","+1.85","+6.78","05/02","29.9","-2.51","19.75","+47.6","29.9","-2.51","18.35","+58.9","29.9","-2.51","17.65","+65.2"
="2535","達欣工","57.9","58.4","57.5","+0.1","+0.17","05/02","59.9","-3.34","47.1","+22.9","59.9","-3.34","38.65","+49.8","59.9","-3.34","31.45","+84.1"
="2536","宏普","38.4","39.1","37.55","+1.1","+2.95","05/02","40.25","-4.6","28.4","+35.2","40.25","-4.6","27.6","+39.1","40.25","-4.6","24.35","+57.7"
="2537","聯上發","19.1","19.1","17.3","+1.7","+9.77","05/02","19.1","0","9.36","+104","19.1","0","7.91","+141","19.1","0","6.83","+180"
="2538","基泰","16.2","16.5","16","+0.25","+1.57","05/02","16.55","-2.11","14.2","+14.1","16.8","-3.57","14.2","+14.1","17.25","-6.09","11.9","+36.1"
="2539","櫻花建","74.1","75.9","74.1","-1.4","-1.85","05/02","80","-7.38","48.55","+52.6","80","-7.38","43.65","+69.8","80","-7.38","37.2","+99.2"
="2540","愛山林","143","148","142","-0.5","-0.35","05/02","149","-4.03","86","+66.3","149","-4.03","78.6","+81.9","149","-4.03","70.9","+102"
="2542","興富發","46.6","47.5","44","+2.3","+5.19","05/02","47.5","-1.89","38.3","+21.7","47.5","-1.89","38.3","+21.7","47.5","-1.89","38.3","+21.7"
="2543","皇昌","54.3","54.3","50.5","+4.9","+9.92","05/02","58.4","-7.02","26.3","+106","58.4","-7.02","18.7","+190","58.4","-7.02","9.33","+482"
="2545","皇翔","61.1","61.9","58.2","+3.1","+5.34","05/02","61.9","-1.29","42.3","+44.4","61.9","-1.29","38.6","+58.3","61.9","-1.29","37.85","+61.4"
="2546","根基","106","109","103.5","+3","+2.91","05/02","112.5","-5.78","78.3","+35.4","112.5","-5.78","73.3","+44.6","112.5","-5.78","64.4","+64.6"
="2547","日勝生","12.2","12.45","11.8","+0.3","+2.52","05/02","13.3","-8.27","9.02","+35.3","13.3","-8.27","8.88","+37.4","13.3","-8.27","8.55","+42.7"
="2548","華固","166.5","171","166","+0.5","+0.3","05/02","171.5","-2.92","95","+75.3","171.5","-2.92","91.5","+82","171.5","-2.92","88.6","+87.9"
="2597","潤弘","184.5","186.5","175.5","+9.5","+5.43","05/02","186.5","-1.07","117","+57.7","186.5","-1.07","99.5","+85.4","186.5","-1.07","97.8","+88.7"
="2601","益航","7.8","7.84","7.76","+0.06","+0.78","05/02","8.68","-10.1","7.37","+5.83","10.1","-22.8","7.37","+5.83","10.1","-22.8","7.37","+5.83"
="2603","長榮","181.5","191.5","181","-8","-4.22","05/02","194.5","-6.68","146","+24.3","194.5","-6.68","107","+69.6","194.5","-6.68","89.5","+103"
="2605","新興","25.7","26.35","25.65","-0.3","-1.15","05/02","28.3","-9.19","22.5","+14.2","29.75","-13.6","20","+28.5","29.75","-13.6","18.1","+42"
="2606","裕民","54.3","55","54.2","+0.1","+0.18","05/02","57.2","-5.07","46.85","+15.9","60.6","-10.4","44","+23.4","60.6","-10.4","40.6","+33.7"
="2607","榮運","34.2","34.85","33.65","+0.55","+1.63","05/02","35","-2.29","29.7","+15.2","36.1","-5.26","28.6","+19.6","36.1","-5.26","26.3","+30"
="2608","嘉里大榮","42.7","42.85","42.3","+0.4","+0.95","05/02","43.85","-2.62","37.2","+14.8","43.85","-2.62","37.05","+15.2","43.85","-2.62","35.6","+19.9"
="2609","陽明","51.3","53.8","50.5","-0.9","-1.72","05/02","55.5","-7.57","43.55","+17.8","59.2","-13.3","41.2","+24.5","69.3","-26","41.1","+24.8"
="2610","華航","21.5","21.9","21.05","+0.55","+2.63","05/02","22.2","-3.15","19.05","+12.9","22.7","-5.29","19.05","+12.9","28.75","-25.2","18.65","+15.3"
="2611","志信","29.7","31.85","28.75","-0.05","-0.17","05/02","32.4","-8.33","15.65","+89.8","32.4","-8.33","12.2","+143","32.4","-8.33","12.15","+144"
="2612","中航","45.4","46.55","45.35","-0.35","-0.77","05/02","49.85","-8.93","43.2","+5.09","62.4","-27.2","39.05","+16.3","62.4","-27.2","36.85","+23.2"
="2613","中櫃","22.65","23.1","22.65","-0.05","-0.22","05/02","23.55","-3.82","21.35","+6.09","25.3","-10.5","19.85","+14.1","25.3","-10.5","19.85","+14.1"
="2614","東森","19.85","20.05","19.65","+0.1","+0.51","05/02","21.6","-8.1","19.2","+3.39","25.25","-21.4","19.2","+3.39","27.85","-28.7","14.65","+35.5"
="2615","萬海","49.4","52.7","49.35","-1.3","-2.56","05/02","52.7","-6.26","42.7","+15.7","62.1","-20.5","42.7","+15.7","63.4","-22.1","42.7","+15.7"
="2616","山隆","26.95","27.1","26.95","-0.15","-0.55","05/02","30","-10.2","26.6","+1.32","30.8","-12.5","26.6","+1.32","33.2","-18.8","26.6","+1.32"
="2617","台航","36.35","37.7","36.2","-0.85","-2.28","05/02","37.85","-3.96","31.2","+16.5","38.15","-4.72","27.65","+31.5","38.15","-4.72","26.15","+39"
="2618","長榮航","37","37.6","35.55","+1.45","+4.08","05/02","37.8","-2.12","30.7","+20.5","37.8","-2.12","28.95","+27.8","42.4","-12.7","25.9","+42.9"
="2630","亞航","43.2","43.7","42.25","+0.3","+0.7","05/02","47.6","-9.24","32.1","+34.6","47.6","-9.24","32.05","+34.8","67.4","-35.9","28.4","+52.1"
="2633","台灣高鐵","30.05","30.15","29.9","+0.15","+0.5","05/02","30.4","-1.15","29.25","+2.74","30.85","-2.59","29.25","+2.74","33.75","-11","29","+3.62"
="2634","漢翔","57.9","58.3","56.6","+0.7","+1.22","05/02","60.5","-4.3","46.95","+23.3","60.5","-4.3","46.95","+23.3","67.3","-14","46.95","+23.3"
="2636","台驊投控","102","105","102","0","0","05/02","107.5","-5.12","87.2","+17","107.5","-5.12","73.4","+39","107.5","-5.12","66.1","+54.3"
="2637","慧洋-KY","67.8","69.2","67.7","-0.3","-0.44","05/02","71","-4.51","50.8","+33.5","71","-4.51","42.05","+61.2","71","-4.51","41.4","+63.8"
="2642","宅配通","37.75","37.75","37.55","+0.2","+0.53","05/02","40","-5.62","37","+2.03","42.95","-12.1","37","+2.03","46.75","-19.3","37","+2.03"
="2645","長榮航太","111.5","112","109","+1.5","+1.36","05/02","122","-8.61","101.5","+9.85","122","-8.61","97.1","+14.8","140","-20.4","93.5","+19.3"
="2701","萬企","12.95","13.05","12.85","+0.1","+0.78","05/02","13.1","-1.15","12.3","+5.28","13.85","-6.5","12.25","+5.71","15.6","-17","12","+7.92"
="2702","華園","20.25","20.45","19.75","+0.45","+2.27","05/02","20.6","-1.7","18.65","+8.58","22.7","-10.8","18.65","+8.58","31.75","-36.2","18.65","+8.58"
="2704","國賓","66","69.5","66","-3.1","-4.49","05/02","74.9","-11.9","45.1","+46.3","74.9","-11.9","44.5","+48.3","74.9","-11.9","38.85","+69.9"
="2705","六福","21.7","22.45","20.55","+0.7","+3.33","05/02","22.45","-3.34","16.3","+33.1","22.45","-3.34","16.3","+33.1","28.45","-23.7","16.15","+34.4"
="2706","第一店","15.55","15.6","15.4","+0.1","+0.65","05/02","15.75","-1.27","14.75","+5.42","16.6","-6.33","14.75","+5.42","20.65","-24.7","14.35","+8.36"
="2707","晶華","237.5","242","232","+2","+0.85","05/02","243","-2.26","203","+17","247.5","-4.04","203","+17","334.5","-29","188","+26.3"
="2712","遠雄來","32.55","32.6","32.05","+0.65","+2.04","05/02","35.45","-8.18","29","+12.2","39","-16.5","29","+12.2","46","-29.2","29","+12.2"
="2722","夏都","65.4","66.2","62.9","+2.2","+3.48","05/02","67.2","-2.68","48.55","+34.7","71.5","-8.53","44.8","+46","123","-46.8","40.8","+60.3"
="2723","美食-KY","92.2","92.3","90.7","+1.3","+1.43","05/02","96.5","-4.46","86.3","+6.84","108","-14.6","86.3","+6.84","166.5","-44.6","86.3","+6.84"
="2727","王品","240.5","240.5","234.5","+5.5","+2.34","05/02","253.5","-5.13","216.5","+11.1","264.5","-9.07","216.5","+11.1","374","-35.7","216.5","+11.1"
="2731","雄獅","155","157","152.5","+2","+1.31","05/02","160","-3.12","115","+34.8","160","-3.12","115","+34.8","201.5","-23.1","107","+44.9"
="2739","寒舍","73.2","73.2","65.5","+6.6","+9.91","05/02","73.2","0","48.05","+52.3","73.2","0","39","+87.7","86","-14.9","34.65","+111"
="2748","雲品","75.3","76.6","74.2","+0.5","+0.67","05/02","85.6","-12","67","+12.4","92.5","-18.6","67","+12.4","130","-42.1","60.3","+24.9"
="2753","八方雲集","170.5","171","170","0","0","05/02","172.5","-1.16","161","+5.9","182.5","-6.58","160","+6.56","206","-17.2","160","+6.56"
="2762","世界健身-KY","97.7","98.9","96.2","+1.8","+1.88","05/02","122.5","-20.2","90.2","+8.31","","","","","","","",""
="2801","彰銀","18.2","18.4","18.2","-0.05","-0.27","05/02","18.5","-1.62","17.4","+4.6","18.5","-1.62","17.15","+6.12","19.05","-4.46","16.95","+7.37"
="2809","京城銀","58","58.5","55.9","+1.9","+3.39","05/02","58.5","-0.85","40.5","+43.2","58.5","-0.85","37.3","+55.5","58.5","-0.85","34.95","+66"
="2812","台中銀","17.8","17.8","17.6","+0.1","+0.56","05/02","17.85","-0.28","15.15","+17.5","17.85","-0.28","14.8","+20.3","17.85","-0.28","14.3","+24.5"
="2816","旺旺保","35.35","35.35","33.8","+3.2","+9.95","05/02","37.4","-5.48","28.75","+23","42","-15.8","28.75","+23","42","-15.8","16.25","+118"
="2820","華票","15.5","15.55","15.2","+0.25","+1.64","05/02","15.55","-0.32","14.5","+6.9","15.55","-0.32","14.2","+9.15","15.6","-0.64","14.2","+9.15"
="2832","台產","29.45","29.75","29.05","+0.65","+2.26","05/02","29.75","-1.01","25.9","+13.7","29.75","-1.01","24.5","+20.2","29.75","-1.01","21.45","+37.3"
="2834","臺企銀","17.1","17.1","16.9","+0.15","+0.88","05/02","17.1","0","13.3","+28.6","17.1","0","12.95","+32","17.1","0","12.7","+34.6"
="2836","高雄銀","11.75","11.75","11.6","+0.15","+1.29","05/02","11.9","-1.26","11.2","+4.91","12.45","-5.62","11.2","+4.91","12.9","-8.91","11.2","+4.91"
"2836A","高雄銀甲特","20.95","20.95","20.95","0","0","05/02","21.2","-1.18","20.8","+0.72","21.3","-1.64","20.8","+0.72","22.05","-4.99","20.8","+0.72"
="2838","聯邦銀","15.4","15.45","15.35","0","0","05/02","15.65","-1.6","13.9","+10.8","15.65","-1.6","13.15","+17.1","16.95","-9.14","13.1","+17.6"
"2838A","聯邦銀甲特","53.5","53.5","53.4","0","0","05/02","53.6","-0.19","51.9","+3.08","53.6","-0.19","50.8","+5.31","53.6","-0.19","50.4","+6.15"
="2845","遠東銀","15.45","15.5","15.3","+0.1","+0.65","05/02","15.5","-0.32","12.05","+28.2","15.5","-0.32","11.6","+33.2","15.5","-0.32","11.1","+39.2"
="2849","安泰銀","14.1","14.15","14.05","0","0","05/02","14.5","-2.76","13.65","+3.3","15","-6","13.65","+3.3","15.8","-10.8","13.6","+3.68"
="2850","新產","97.8","98.1","96.5","+1.3","+1.35","05/02","98.1","-0.31","67.2","+45.5","98.1","-0.31","64.3","+52.1","98.1","-0.31","50.3","+94.4"
="2851","中再保","27.35","27.5","27.05","+0.25","+0.92","05/02","27.65","-1.08","22.25","+22.9","27.65","-1.08","22.15","+23.5","27.65","-1.08","18.4","+48.6"
="2852","第一保","23.25","23.25","22.1","+2.1","+9.93","05/02","23.25","0","18.15","+28.1","23.25","0","17.1","+36","23.25","0","15.55","+49.5"
="2855","統一證","27.9","27.95","27.5","+0.25","+0.9","05/02","27.95","-0.18","18.75","+48.8","27.95","-0.18","17.55","+59","27.95","-0.18","16.3","+71.2"
="2867","三商壽","5.83","5.84","5.73","+0.1","+1.75","05/02","6.4","-8.91","4.78","+22","6.4","-8.91","4.78","+22","6.4","-8.91","4.78","+22"
="2880","華南金","24.2","24.3","23.7","+0.55","+2.33","05/02","24.35","-0.62","21.55","+12.3","24.35","-0.62","20.65","+17.2","24.35","-0.62","20.2","+19.8"
="2881","富邦金","69","69.8","69","-0.1","-0.14","05/02","71.4","-3.36","64","+7.81","71.4","-3.36","60.6","+13.9","71.4","-3.36","58.3","+18.4"
"2881A","富邦特","62.2","62.2","62.2","-0.1","-0.16","05/02","62.3","-0.16","61.5","+1.14","62.3","-0.16","60.4","+2.98","62.3","-0.16","60.1","+3.49"
"2881B","富邦金乙特","59.1","59.4","59","-0.3","-0.51","05/02","60.1","-1.66","58.9","+0.34","60.2","-1.83","58.9","+0.34","60.3","-1.99","57.6","+2.6"
"2881C","富邦金丙特","54.3","54.3","54.2","0","0","05/02","55.3","-1.81","54","+0.56","60.1","-9.65","54","+0.56","60.1","-9.65","54","+0.56"
="2882","國泰金","50.3","50.7","50","-0.2","-0.4","05/02","51.2","-1.76","43.7","+15.1","51.2","-1.76","43.1","+16.7","51.2","-1.76","42.05","+19.6"
"2882A","國泰特","60.5","60.6","60.5","-0.1","-0.17","05/02","60.6","-0.17","60","+0.83","60.6","-0.17","59.4","+1.85","60.6","-0.17","57.5","+5.22"
"2882B","國泰金乙特","59.1","59.1","59","0","0","05/02","60","-1.5","58.8","+0.51","60","-1.5","58.8","+0.51","60.1","-1.66","57.9","+2.07"
="2883","開發金","13.7","13.85","13.7","+0.05","+0.37","05/02","14.6","-6.16","12","+14.2","14.6","-6.16","11.25","+21.8","14.6","-6.16","11.15","+22.9"
"2883B","開發金乙特","7.59","7.63","7.57","-0.04","-0.52","05/02","7.87","-3.56","7.16","+6.01","7.87","-3.56","6.62","+14.7","7.87","-3.56","6.52","+16.4"
="2884","玉山金","27.45","27.8","27.4","+0.05","+0.18","05/02","27.8","-1.26","24.3","+13","27.8","-1.26","24.2","+13.4","27.8","-1.26","23.8","+15.3"
="2885","元大金","30.65","30.9","30.45","0","0","05/02","31.25","-1.92","26.6","+15.2","31.25","-1.92","24.6","+24.6","31.25","-1.92","22.35","+37.1"
="2886","兆豐金","39.95","40.35","39.8","-0.05","-0.12","05/02","41","-2.56","37.55","+6.39","41","-2.56","37.3","+7.1","41","-2.56","34.05","+17.3"
="2887","台新金","18.05","18.15","17.95","+0.1","+0.56","05/02","18.2","-0.82","17.05","+5.87","18.3","-1.37","17","+6.18","19.5","-7.44","17","+6.18"
"2887E","台新戊特","52.6","52.6","52.4","+0.1","+0.19","05/02","52.6","0","51.5","+2.14","52.6","0","50.6","+3.95","52.6","0","49.4","+6.48"
"2887F","台新戊特二","46.95","47","46.85","+0.2","+0.43","05/02","47","-0.11","45.65","+2.85","47","-0.11","45.5","+3.19","48.9","-3.99","45.3","+3.64"
"2887Z1","台新己特","16.7","16.7","16.7","0","0","05/02","16.95","-1.47","16.65","+0.3","17.2","-2.91","16.55","+0.91","17.2","-2.91","16.55","+0.91"
="2888","新光金","8.66","8.71","8.5","+0.03","+0.35","05/02","8.8","-1.59","8.01","+8.11","9.18","-5.66","8.01","+8.11","10.05","-13.8","8.01","+8.11"
"2888A","新光金甲特","26.5","26.65","26.5","0","0","05/02","27.6","-3.99","25.7","+3.11","30.3","-12.5","25.7","+3.11","33.4","-20.7","25.7","+3.11"
"2888B","新光金乙特","27","27.15","27","-0.05","-0.18","05/02","27.75","-2.7","25.95","+4.05","30.3","-10.9","25.95","+4.05","33.3","-18.9","25.95","+4.05"
="2889","國票金","14.7","14.75","14.5","+0.15","+1.03","05/02","14.75","-0.34","12","+22.5","14.75","-0.34","11.35","+29.5","14.75","-0.34","11.35","+29.5"
="2890","永豐金","22.15","22.25","21.9","+0.2","+0.91","05/02","22.25","-0.45","19.05","+16.3","22.25","-0.45","18.2","+21.7","22.25","-0.45","16.8","+31.8"
="2891","中信金","34.1","34.75","33.95","0","0","05/02","34.9","-2.29","28","+21.8","34.9","-2.29","24.8","+37.5","34.9","-2.29","22.8","+49.6"
"2891B","中信金乙特","60","60","59.9","-0.1","-0.17","05/02","60.4","-0.66","59.4","+1.01","60.4","-0.66","58.5","+2.56","60.5","-0.83","58","+3.45"
"2891C","中信金丙特","58","58","58","0","0","05/02","60","-3.33","57.7","+0.52","60","-3.33","57.7","+0.52","60","-3.33","57.7","+0.52"
="2892","第一金","27.35","27.6","27.3","0","0","05/02","27.95","-2.15","26.4","+3.6","27.95","-2.15","26.1","+4.79","29.3","-6.66","25.8","+6.01"
="2897","王道銀行","10.05","10.1","9.96","+0.07","+0.7","05/02","10.35","-2.9","9.34","+7.6","10.35","-2.9","9.29","+8.18","10.4","-3.37","8.85","+13.6"
"2897A","王道銀甲特","10.35","10.4","10.35","-0.05","-0.48","05/02","10.55","-1.9","10.25","+0.98","10.55","-1.9","10.2","+1.47","10.6","-2.36","9.98","+3.71"
="2901","欣欣","28.1","28.35","28","-0.1","-0.35","05/02","29.35","-4.26","26.05","+7.87","29.35","-4.26","25.55","+9.98","33","-14.8","24.7","+13.8"
="2903","遠百","34.35","34.5","33.8","+0.4","+1.18","05/02","34.5","-0.43","24.2","+41.9","34.5","-0.43","23.6","+45.6","34.5","-0.43","21.4","+60.5"
="2904","匯僑","18.25","18.25","18.15","+0.05","+0.27","05/02","18.9","-3.44","17.95","+1.67","19.35","-5.68","17.95","+1.67","20.6","-11.4","17.95","+1.67"
="2905","三商","14.6","14.75","14.15","+0.45","+3.18","05/02","14.75","-1.02","12.1","+20.7","14.75","-1.02","12.1","+20.7","15.6","-6.41","12.1","+20.7"
="2906","高林","21.5","21.5","20.45","+1.2","+5.91","05/02","21.85","-1.6","18.6","+15.6","21.85","-1.6","16.2","+32.7","21.85","-1.6","15.6","+37.8"
="2908","特力","20.8","20.85","20.8","-0.05","-0.24","05/02","21.4","-2.8","20.3","+2.46","21.4","-2.8","20.05","+3.74","21.4","-2.8","20","+4"
="2910","統領","27.3","27.4","27","0","0","05/02","28","-2.5","26.2","+4.2","29.5","-7.46","25","+9.2","31.9","-14.4","25","+9.2"
="2911","麗嬰房","6.78","6.82","6.75","+0.01","+0.15","05/02","8.7","-22.1","6","+13","8.7","-22.1","6","+13","8.7","-22.1","6","+13"
="2912","統一超","272.5","276","271.5","-1.5","-0.55","05/02","278.5","-2.15","265","+2.83","278.5","-2.15","261","+4.41","293","-7","256","+6.45"
="2913","農林","23.4","24.25","22.35","+0.9","+4","05/02","24.25","-3.51","20","+17","24.25","-3.51","19.9","+17.6","33","-29.1","19.75","+18.5"
="2915","潤泰全","63.6","64.4","60.3","+3.4","+5.65","05/02","64.4","-1.24","57.6","+10.4","65.5","-2.9","57.6","+10.4","65.5","-2.9","53.2","+19.5"
="2923","鼎固-KY","25.4","25.45","24.8","+0.05","+0.2","05/02","27.25","-6.79","22.2","+14.4","28.8","-11.8","22.2","+14.4","28.9","-12.1","22.2","+14.4"
="2929","淘帝-KY","9.6","9.99","9.35","+0.25","+2.67","05/02","11.75","-18.3","8.94","+7.38","13.4","-28.4","8.94","+7.38","13.4","-28.4","8.94","+7.38"
="2939","凱羿-KY","25.85","25.85","25.55","-0.6","-2.27","05/02","29.95","-13.7","24.15","+7.04","33.6","-23.1","24.15","+7.04","33.9","-23.7","24.15","+7.04"
="2945","三商家購","44.4","44.45","43.7","+0.4","+0.91","05/02","47.4","-6.33","40.4","+9.9","49.3","-9.94","38.65","+14.9","49.3","-9.94","38.1","+16.5"
="3002","歐格","14.7","14.95","14.7","-0.05","-0.34","05/02","19.25","-23.6","13.6","+8.09","19.25","-23.6","12.8","+14.8","19.25","-23.6","11.75","+25.1"
="3003","健和興","76","76","74.9","+0.2","+0.26","05/02","77.5","-1.94","67.4","+12.8","77.5","-1.94","67.4","+12.8","88.9","-14.5","66.5","+14.3"
="3004","豐達科","112.5","114.5","110","+0.5","+0.45","05/02","121.5","-7.41","90.8","+23.9","121.5","-7.41","88.1","+27.7","121.5","-7.41","80.9","+39.1"
="3005","神基","107.5","109","103","+2.5","+2.38","05/02","161.5","-33.4","102.5","+4.88","161.5","-33.4","73.8","+45.7","161.5","-33.4","60.2","+78.6"
="3006","晶豪科","89.8","91.5","88.6","+0.8","+0.9","05/02","104","-13.7","76","+18.2","109","-17.6","76","+18.2","109","-17.6","68","+32.1"
="3008","大立光","2170","2215","2170","-15","-0.69","05/02","2665","-18.6","2090","+3.83","2880","-24.7","2040","+6.37","2880","-24.7","1925","+12.7"
="3010","華立","129.5","130","125","+3.5","+2.78","05/02","132.5","-2.26","97.4","+33","132.5","-2.26","94.3","+37.3","132.5","-2.26","79.4","+63.1"
="3011","今皓","28.6","29.3","27.2","+1.2","+4.38","05/02","35.9","-20.3","27","+5.93","39.9","-28.3","27","+5.93","43.1","-33.6","26.1","+9.58"
="3013","晟銘電","75.1","76.6","72","+1.5","+2.04","05/02","80.1","-6.24","42.65","+76.1","80.1","-6.24","40.3","+86.4","80.1","-6.24","19.9","+277"
="3014","聯陽","168.5","168.5","165","+1.5","+0.9","05/02","184.5","-8.67","152","+10.9","184.5","-8.67","146","+15.4","184.5","-8.67","89.1","+89.1"
="3015","全漢","61.6","62.1","61","0","0","05/02","72","-14.4","51.8","+18.9","72","-14.4","48.85","+26.1","72","-14.4","47.05","+30.9"
="3016","嘉晶","61.3","62","61.1","-0.7","-1.13","05/02","65.3","-6.13","51.1","+20","66.4","-7.68","51.1","+20","75","-18.3","51.1","+20"
="3017","奇鋐","656","664","624","+2","+0.31","05/02","692","-5.2","466.5","+40.6","692","-5.2","280","+134","692","-5.2","166.5","+294"
="3018","隆銘綠能","14.8","14.8","14.8","0","0","05/02","15.8","-6.33","12.4","+19.4","16.65","-11.1","7.06","+110","16.65","-11.1","6.66","+122"
="3019","亞光","65.2","65.5","64.5","+1","+1.56","05/02","70","-6.86","61.2","+6.54","74.7","-12.7","61.2","+6.54","74.7","-12.7","60.1","+8.49"
="3021","鴻名","23.3","23.6","22.55","+0.65","+2.87","05/02","28.6","-18.5","20.65","+12.8","28.6","-18.5","19.65","+18.6","29.85","-21.9","19.65","+18.6"
="3022","威強電","79","79.1","78.5","+0.1","+0.13","05/02","86.2","-8.35","75.1","+5.19","88.4","-10.6","70","+12.9","103.5","-23.7","68","+16.2"
="3023","信邦","281.5","285","277","+0.5","+0.18","05/02","291.5","-3.43","253","+11.3","303","-7.1","253","+11.3","387","-27.3","253","+11.3"
="3024","憶聲","20.8","21.05","19.85","+0.95","+4.79","05/02","21.05","-1.19","16.8","+23.8","21.05","-1.19","15.65","+32.9","21.05","-1.19","13.65","+52.4"
="3025","星通","67.4","67.4","66","+0.7","+1.05","05/02","85","-20.7","56","+20.4","85","-20.7","43.55","+54.8","85","-20.7","26.95","+150"
="3026","禾伸堂","96.7","96.8","96.3","-0.3","-0.31","05/02","98.2","-1.53","94","+2.87","102.5","-5.66","93.9","+2.98","109","-11.3","92.7","+4.31"
="3027","盛達","45.05","46","44.9","-0.25","-0.55","05/02","50.8","-11.3","38.5","+17","50.8","-11.3","36.15","+24.6","58.4","-22.9","35.8","+25.8"
="3028","增你強","36.05","36.1","35.45","+0.55","+1.55","05/02","37.2","-3.09","33.6","+7.29","37.2","-3.09","31.8","+13.4","37.2","-3.09","30","+20.2"
="3029","零壹","75.4","75.9","74.6","+0.4","+0.53","05/02","79.8","-5.51","69.9","+7.87","79.8","-5.51","62.3","+21","79.8","-5.51","58","+30"
="3030","德律","107.5","111.5","105.5","+1.5","+1.42","05/02","111.5","-3.59","69","+55.8","111.5","-3.59","59.6","+80.4","111.5","-3.59","58.6","+83.4"
="3031","佰鴻","20.2","20.6","20.05","+0.1","+0.5","05/02","21.4","-5.61","18.4","+9.78","21.4","-5.61","16.45","+22.8","22.85","-11.6","16.35","+23.5"
="3032","偉訓","76.1","76.4","75.3","-0.4","-0.52","05/02","87.5","-13","70","+8.71","87.5","-13","66.5","+14.4","87.5","-13","44","+73"
="3033","威健","36.05","37","33.75","+1.85","+5.41","05/02","37","-2.57","30.2","+19.4","37","-2.57","27","+33.5","37.1","-2.83","26.75","+34.8"
="3034","聯詠","616","623","606","-2","-0.32","05/02","639","-3.6","492","+25.2","639","-3.6","466.5","+32","639","-3.6","380","+62.1"
="3035","智原","288.5","294","288","-5.5","-1.87","05/02","459.5","-37.2","277.5","+3.96","459.5","-37.2","277.5","+3.96","459.5","-37.2","161.5","+78.6"
="3036","文曄","152.5","153","148","+2.5","+1.67","05/02","187","-18.4","135","+13","187","-18.4","108.5","+40.6","187","-18.4","63.8","+139"
"3036A","文曄甲特","47.05","47.05","47","+0.05","+0.11","05/02","47.25","-0.42","46.55","+1.07","47.65","-1.26","45.3","+3.86","48.55","-3.09","43.95","+7.05"
="3037","欣興","178","183.5","178","-4","-2.2","05/02","204","-12.7","166.5","+6.91","204","-12.7","149.5","+19.1","208","-14.4","142","+25.4"
="3038","全台","32","32.35","31.85","+0.45","+1.43","05/02","37.4","-14.4","29.8","+7.38","37.4","-14.4","29","+10.3","44.8","-28.6","27.5","+16.4"
="3040","遠見","30.1","30.1","30","+0.1","+0.33","05/02","32.25","-6.67","29","+3.79","32.25","-6.67","29","+3.79","33.85","-11.1","29","+3.79"
="3041","揚智","23.35","24","22.7","+0.35","+1.52","05/02","33.95","-31.2","20.2","+15.6","35.45","-34.1","20.2","+15.6","35.45","-34.1","16.75","+39.4"
="3042","晶技","112","112.5","110","-0.5","-0.44","05/02","124","-9.68","95","+17.9","124","-9.68","93.3","+20","124","-9.68","84.5","+32.5"
="3043","科風","30.45","30.6","30","+0.25","+0.83","05/02","37","-17.7","29.65","+2.7","43.75","-30.4","29.65","+2.7","69.9","-56.4","29.65","+2.7"
="3044","健鼎","200","200","195.5","+2.5","+1.27","05/02","236.5","-15.4","187","+6.95","236.5","-15.4","173","+15.6","236.5","-15.4","105","+90.5"
="3045","台灣大","104","104.5","103","0","0","05/02","105","-0.95","97.6","+6.56","105","-0.95","96.5","+7.77","105","-0.95","93.1","+11.7"
="3046","建碁","61.5","62","60.9","+0.3","+0.49","05/02","69.9","-12","58.2","+5.67","75","-18","58.2","+5.67","105","-41.4","58.2","+5.67"
="3047","訊舟","14.7","14.7","14.45","+0.1","+0.68","05/02","21.3","-31","13.8","+6.52","21.3","-31","12.9","+14","21.3","-31","12.9","+14"
="3048","益登","23.6","23.7","23.3","+0.25","+1.07","05/02","26.5","-10.9","22.6","+4.42","26.5","-10.9","22.6","+4.42","28.75","-17.9","21.8","+8.26"
